TPR,FPR,Query Coverage,Target Coverage,Bitscore
0.926382945788,0.173154714999,37,52,70
0.918460653907,0.164854215918,37,52,74
0.909543238133,0.1597583399,37,52,78
0.899514600679,0.1536643026,37,52,82
0.888286286087,0.145836616759,37,52,86
0.944953063323,0.268715524035,37,55,30
0.944461029843,0.257998423956,37,55,34
0.943172897248,0.243919096401,37,55,38
0.942067204034,0.229787234043,37,55,42
0.940751429108,0.218859994747,37,55,46
0.938871750644,0.209298660362,37,55,50
0.936002476753,0.197163120567,37,55,54
0.932563770856,0.186498555293,37,55,58
0.928649616877,0.177147360126,37,55,62
0.92329806172,0.168058838981,37,55,66
0.917659026327,0.161281849225,37,55,70
0.910024214681,0.153821907013,37,55,74
0.901333466017,0.149041239821,37,55,78
0.891492796409,0.143262411348,37,55,82
0.880469035062,0.135697399527,37,55,86
0.930894174102,0.238770685579,37,58,30
0.930457425283,0.229524560021,37,58,34
0.929257748145,0.216758602574,37,58,38
0.928301323515,0.20341476228,37,58,42
0.927107174843,0.19317047544,37,58,46
0.925371236497,0.184607302338,37,58,50
0.922767328977,0.173207249803,37,58,54
0.919505533995,0.16317310218,37,58,58
0.916033657301,0.154662463882,37,58,62
0.910952996981,0.146361964802,37,58,66
0.90563461262,0.140215392698,37,58,70
0.898425492863,0.133911216181,37,58,74
0.889983525171,0.129445757815,37,58,78
0.880452449663,0.125137903861,37,58,82
0.869799095543,0.118150774888,37,58,86
0.915226501255,0.216390858944,37,61,30
0.915005362612,0.208405568689,37,61,34
0.914126336507,0.196480168111,37,61,38
0.913230725003,0.183976884686,37,61,42
0.912125031789,0.175045967954,37,61,46
0.910588118221,0.167113212503,37,61,50
0.908177707013,0.156763856055,37,61,54
0.905181278402,0.147255056475,37,61,58
0.902018995809,0.13926976622,37,61,62
0.897446954368,0.131231941161,37,61,66
0.892366294048,0.125295508274,37,61,70
0.885544166915,0.119306540583,37,61,74
0.877411793324,0.11536643026,37,61,78
0.868240068111,0.111741528763,37,61,82
0.857940535819,0.106015235093,37,61,86
0.896578985195,0.18975571316,37,64,30
0.896379960416,0.1829261886,37,64,34
0.895633617496,0.172576832151,37,64,38
0.894831989916,0.162752823746,37,64,42
0.893864508354,0.155030207512,37,64,46
0.892559790361,0.147780404518,37,64,50
0.890376046262,0.137851326504,37,64,54
0.887716854082,0.129655897032,37,64,58
0.885041076503,0.122878907276,37,64,62
0.880789686094,0.115208825847,37,64,66
0.876096018399,0.110323089046,37,64,70
0.869804624009,0.104701864986,37,64,74
0.862136641567,0.101497241923,37,64,78
0.853396136708,0.0986603624901,37,64,82
0.84352782477,0.094194904124,37,64,86
0.8736026802,0.161491988442,37,67,30
0.87342024082,0.155713159968,37,67,34
0.872823166484,0.146361964802,37,67,38
0.872093408963,0.138691883373,37,67,42
0.87128072445,0.132702915682,37,67,46
0.87016950277,0.126136065143,37,67,50
0.868273238907,0.118360914106,37,67,54
0.865901526962,0.11121618072,37,67,58
0.863496644221,0.104859469398,37,67,62
0.85957143331,0.0976622012083,37,67,66
0.855231587444,0.0933543472551,37,67,70
0.84969206444,0.0889414236932,37,67,74
0.842593514004,0.0865773574993,37,67,78
0.834240001769,0.0844234305227,37,67,82
0.824659170067,0.0803257157867,37,67,86
0.846728806625,0.131231941161,37,70,30
0.846607180372,0.126819017599,37,70,34
0.84613173229,0.118833727344,37,70,38
0.845562300284,0.112056737589,37,70,42
0.844970754414,0.107013396375,37,70,46
0.844014329784,0.100866824271,37,70,50
0.842449773886,0.0942474389283,37,70,54
0.840520339227,0.0875755187812,37,70,58
0.838386351323,0.0820068295246,37,70,62
0.834748620648,0.0759127922248,37,70,66
0.830812352805,0.0723929603362,37,70,70
0.82586437567,0.0686629892304,37,70,74
0.819257858715,0.0664565274494,37,70,78
0.811777844119,0.0652482269504,37,70,82
0.803053924658,0.0634620436039,37,70,86
0.811998982762,0.0978723404255,37,73,30
0.811916055771,0.0946677173628,37,73,34
0.811512477748,0.0874704491726,37,73,38
0.811108899725,0.0816916206987,37,73,42
0.81062239471,0.0775413711584,37,73,46
0.809870523325,0.0729183083793,37,73,50
0.808715073916,0.0682427107959,37,73,54
0.807144989551,0.0622012083005,37,73,58
0.805298481883,0.05768321513,37,73,62
0.802097500028,0.0527974783294,37,73,66
0.798515054013,0.0494352508537,37,73,70
0.7939872403,0.0465458366168,37,73,74
0.78807731007,0.0454951405306,37,73,78
0.781205426742,0.0448647228789,37,73,82
0.773277606395,0.0434462831626,37,73,86
0.774029477781,0.0723404255319,37,76,30
0.774001835451,0.0698187549251,37,76,34
0.77376411141,0.063829787234,37,76,38
0.77360931436,0.0603624901497,37,76,42
0.773338419522,0.0574205411085,37,76,46
0.772763459051,0.05426845285,37,76,50
0.771895489877,0.0504334121355,37,76,54
0.770789796663,0.045390070922,37,76,58
0.769263940027,0.0420278434463,37,76,62
0.76682588649,0.0379301287103,37,76,66
0.763846043277,0.0360388757552,37,76,70
0.760014816289,0.0343577620173,37,76,74
0.754668789598,0.0334646703441,37,76,78
0.748521135326,0.0330969267139,37,76,82
0.741339657899,0.0322038350407,37,76,86
0.731803053925,0.0614657210402,37,79,30
0.73178094006,0.0594693984765,37,79,34
0.731587443748,0.0553716837405,37,79,38
0.731504516757,0.0525348043079,37,79,42
0.731338662775,0.0500131337011,37,79,46
0.730990369412,0.0475965327029,37,79,50
0.730454108203,0.0447596532703,37,79,54
