VOG5497,67.8,NA
VOG9777,419.3,NA
VOG9774,150.8,NA
VOG9775,95.1,NA
VOG9772,175.7,NA
VOG9773,188.5,NA
VOG5491,94.5,40.4
VOG9771,184.1,NA
VOG4728,93.8,NA
VOG4729,47.9,NA
VOG4726,89.9,NA
VOG4727,52.7,32.8
VOG4724,134.5,115.6
VOG4725,576.1,270.8
VOG4722,102.2,61.1
VOG4723,105.3,84.8
VOG4720,121.8,121.8
VOG4721,91.9,90.5
VOG10694,220.0,NA
VOG10078,216.4,32.1
VOG10079,149.0,NA
VOG10695,195.7,NA
VOG10074,646.4,NA
VOG10075,410.2,NA
VOG10076,136.5,NA
VOG10077,574.5,57.5
VOG10070,105.4,32.9
VOG10071,172.8,NA
VOG10072,181.1,NA
VOG10073,223.1,NA
VOG10697,174.8,NA
VOG10690,92.0,NA
VOG10691,209.2,NA
VOG10692,121.1,NA
VOG10693,142.3,NA
VOG3091,150.6,63.2
VOG3090,290.9,192.0
VOG3093,406.2,35.1
VOG3094,104.7,67.2
VOG3099,147.2,NA
VOG10290,192.4,NA
VOG10291,397.3,NA
VOG10292,311.5,NA
VOG10293,522.6,NA
VOG10294,593.2,NA
VOG10295,285.1,NA
VOG10296,647.4,NA
VOG10297,118.4,NA
VOG10298,898.0,NA
VOG10299,68.9,NA
VOG9501,143.8,NA
VOG2948,149.7,149.2
VOG9500,94.7,NA
VOG2945,134.0,125.4
VOG2946,102.2,NA
VOG2947,192.0,NA
VOG2940,138.8,109.5
VOG9503,257.5,NA
VOG2942,167.0,NA
VOG2943,99.8,NA
VOG1948,137.6,NA
VOG9502,926.8,164.1
VOG9505,522.5,NA
VOG1942,214.4,56.9
VOG1945,39.8,36.9
VOG1944,121.9,70.2
VOG9504,157.7,NA
VOG3899,142.8,NA
VOG3898,127.8,NA
VOG9507,250.6,83.2
VOG3891,128.1,102.9
VOG3890,321.3,321.3
VOG7732,623.7,NA
VOG9506,91.8,NA
VOG7734,NA,239.1
VOG3894,67.5,NA
VOG3897,420.8,269.6
VOG7737,96.5,NA
VOG10928,154.6,152.4
VOG10929,131.8,NA
VOG10926,147.0,NA
VOG10927,239.3,115.8
VOG10924,246.0,NA
VOG10925,358.0,NA
VOG10922,138.4,NA
VOG10923,274.0,112.0
VOG10920,516.4,NA
VOG10921,227.5,NA
VOG0546,97.7,NA
VOG0547,134.3,NA
VOG0544,391.8,NA
VOG0545,775.2,NA
VOG0542,122.7,NA
VOG0543,265.2,NA
VOG0541,87.3,NA
VOG0548,94.1,NA
VOG0549,67.4,NA
VOG6067,190.3,NA
VOG6066,130.6,NA
VOG6065,135.1,NA
VOG6064,101.7,NA
VOG6063,195.7,NA
VOG6062,115.2,NA
VOG6061,108.2,72.6
VOG6060,133.1,NA
VOG6069,130.4,NA
VOG6068,166.7,37.5
VOG2768,94.2,NA
VOG2761,176.6,NA
VOG2763,155.3,NA
VOG2764,529.6,278.0
VOG2765,72.9,70.5
VOG2766,97.4,NA
VOG2767,102.8,NA
VOG1493,72.5,NA
VOG1491,113.0,NA
VOG1490,124.3,NA
VOG1499,95.5,94.1
VOG0723,90.7,NA
VOG0720,515.0,514.3
VOG0727,252.0,52.8
VOG0724,67.5,32.7
VOG0725,60.4,NA
VOG9563,288.3,NA
VOG9562,106.3,NA
VOG9561,111.6,NA
VOG9560,82.1,NA
VOG9567,396.8,NA
VOG9566,70.7,NA
VOG9565,221.2,NA
VOG9564,217.2,NA
VOG9569,725.1,NA
VOG9568,84.8,NA
VOG1237,116.6,NA
VOG1236,116.2,116.2
VOG1234,88.8,NA
VOG1233,85.6,31.8
VOG1232,75.0,NA
VOG1238,113.7,NA
VOG1445,422.9,NA
VOG1110,91.2,NA
VOG9387,952.8,NA
VOG9386,577.2,NA
VOG9385,613.5,NA
VOG9384,812.0,NA
VOG9383,696.5,50.0
VOG9382,221.7,NA
VOG9381,636.7,NA
VOG9380,320.2,NA
VOG9389,134.3,NA
VOG9388,293.8,NA
VOG5808,145.5,NA
VOG5809,126.7,NA
VOG5800,130.6,NA
VOG5801,142.6,NA
VOG5802,160.8,NA
VOG5803,487.0,NA
VOG5804,105.2,NA
VOG5805,136.1,NA
VOG5806,205.7,34.1
VOG5807,158.5,62.6
VOG8160,160.3,NA
VOG8161,226.0,NA
VOG8162,240.2,NA
VOG8163,580.1,NA
VOG8164,129.8,NA
VOG8165,365.4,NA
VOG8166,983.3,93.4
VOG8167,152.9,NA
VOG8168,186.9,NA
VOG8169,420.2,NA
VOG5604,590.1,NA
VOG5605,63.0,NA
VOG9181,201.3,NA
VOG5603,195.0,NA
VOG9183,119.0,NA
VOG9182,275.4,NA
VOG8388,114.1,NA
VOG8389,99.5,NA
VOG8384,560.8,NA
VOG8385,387.3,NA
VOG8386,124.1,NA
VOG8387,539.6,NA
VOG8380,113.1,NA
VOG8381,109.4,NA
VOG8382,132.4,NA
VOG8383,107.2,NA
VOG2643,152.0,32.3
VOG3150,111.9,NA
VOG3151,101.0,55.7
VOG3152,106.1,NA
VOG3401,239.6,NA
VOG7129,133.2,NA
VOG7128,214.8,NA
VOG3404,147.8,NA
VOG3405,132.0,71.1
VOG7125,375.3,51.1
VOG7124,126.7,NA
VOG7127,158.4,NA
VOG7126,240.7,NA
VOG7121,453.2,NA
VOG7120,131.0,NA
VOG7123,97.7,NA
VOG7122,429.9,NA
VOG6658,73.9,NA
VOG2578,159.6,NA
VOG2575,273.7,181.0
VOG2574,229.5,NA
VOG6656,92.7,NA
VOG2576,173.2,NA
VOG2571,65.7,38.6
VOG6651,139.2,NA
VOG6652,56.6,NA
